fecha_iv,tc_iv
1996-04-10,7.5100
1996-04-11,7.5065
1996-04-12,7.5075
1996-04-15,7.4760
1996-04-16,7.4485
1996-04-17,7.4375
1996-04-18,7.4275
1996-04-19,7.4165
1996-04-22,7.3925
1996-04-23,7.4075
1996-04-24,7.4060
1996-04-25,7.3910
1996-04-26,7.3950
1996-04-29,7.4350
1996-04-30,7.4350
1996-05-02,7.4385
1996-05-03,7.4685
1996-05-06,7.4975
1996-05-07,7.5100
1996-05-08,7.4925
1996-05-09,7.4785
1996-05-10,7.4550
1996-05-13,7.4335
1996-05-14,7.4350
1996-05-15,7.4275
1996-05-16,7.4225
1996-05-17,7.4110
1996-05-20,7.4075
1996-05-21,7.3970
1996-05-22,7.3860
1996-05-23,7.3850
1996-05-24,7.3875
1996-05-27,7.3825
1996-05-28,7.3880
1996-05-29,7.3995
1996-05-30,7.4125
1996-05-31,7.4450
1996-06-03,7.4525
1996-06-04,7.4490
1996-06-05,7.4570
1996-06-06,7.4815
1996-06-07,7.5040
1996-06-10,7.5425
1996-06-11,7.5825
1996-06-12,7.6100
1996-06-13,7.6125
1996-06-14,7.5990
1996-06-17,7.5735
1996-06-18,7.5640
1996-06-19,7.5325
1996-06-20,7.5470
1996-06-21,7.5850
1996-06-24,7.6150
1996-06-25,7.6200
1996-06-26,7.6050
1996-06-27,7.6140
1996-06-28,7.5925
1996-07-01,7.5950
1996-07-02,7.6000
1996-07-03,7.5960
1996-07-04,7.6065
1996-07-05,7.6205
1996-07-08,7.6450
1996-07-09,7.6410
1996-07-10,7.6210
1996-07-11,7.6350
1996-07-12,7.6445
1996-07-15,7.6490
1996-07-16,7.6595
1996-07-17,7.6515
1996-07-18,7.6340
1996-07-19,7.6260
1996-07-22,7.6260
1996-07-23,7.6080
1996-07-24,7.6000
1996-07-25,7.6025
1996-07-26,7.6025
1996-07-29,7.5950
1996-07-30,7.5840
1996-07-31,7.5825
1996-08-01,7.5800
1996-08-02,7.5630
1996-08-05,7.5415
1996-08-06,7.5335
1996-08-07,7.5235
1996-08-08,7.5210
1996-08-09,7.5215
1996-08-12,7.5030
1996-08-13,7.4955
1996-08-14,7.4975
1996-08-15,7.5035
1996-08-16,7.4905
1996-08-19,7.4790
