fecha_in,tc_in,fecha_bx,tc_bx
09/09/1993,3.1100,09/09/1993,3.1127
10/09/1993,3.1100,10/09/1993,3.1119
13/09/1993,3.1100,13/09/1993,3.1119
14/09/1993,3.1100,14/09/1993,3.1109
15/09/1993,3.1100,15/09/1993,3.1108
17/09/1993,3.1100,17/09/1993,3.1093
20/09/1993,3.1100,20/09/1993,3.1073
21/09/1993,3.1250,21/09/1993,3.1100
22/09/1993,3.1150,22/09/1993,3.1163
23/09/1993,3.1100,23/09/1993,3.1124
24/09/1993,3.1100,24/09/1993,3.1114
27/09/1993,3.1200,27/09/1993,3.1199
28/09/1993,3.1200,28/09/1993,3.1178
29/09/1993,3.1650,29/09/1993,3.1178
30/09/1993,3.1200,30/09/1993,3.1179
01/10/1993,3.1200,01/10/1993,3.1163
04/10/1993,3.1100,04/10/1993,3.1131
05/10/1993,3.1150,05/10/1993,3.1148
06/10/1993,3.1150,06/10/1993,3.1142
07/10/1993,3.1150,07/10/1993,3.1156
08/10/1993,3.1100,08/10/1993,3.1158
11/10/1993,3.1100,11/10/1993,3.1136
13/10/1993,3.1100,13/10/1993,3.1129
14/10/1993,3.1100,14/10/1993,3.1135
15/10/1993,3.1100,15/10/1993,3.1140
18/10/1993,3.1100,18/10/1993,3.1123
19/10/1993,3.1100,19/10/1993,3.1125
20/10/1993,3.1100,20/10/1993,3.1115
21/10/1993,3.1100,21/10/1993,3.1120
22/10/1993,3.1100,22/10/1993,3.1125
25/10/1993,3.1100,25/10/1993,3.1135
26/10/1993,3.1150,26/10/1993,3.1135
27/10/1993,3.1150,27/10/1993,3.1176
28/10/1993,3.1250,28/10/1993,3.1293
29/10/1993,3.1300,29/10/1993,3.1259
03/11/1993,3.1400,03/11/1993,3.1481
04/11/1993,3.1500,04/11/1993,3.1476
05/11/1993,3.1500,05/11/1993,3.1520
08/11/1993,3.1500,08/11/1993,3.1520
09/11/1993,3.2550,09/11/1993,3.2450
10/11/1993,3.2250,10/11/1993,3.2400
11/11/1993,3.1950,11/11/1993,3.2163
12/11/1993,3.2150,12/11/1993,3.2325
15/11/1993,3.2050,15/11/1993,3.2125
16/11/1993,3.1900,16/11/1993,3.1850
17/11/1993,3.1350,17/11/1993,3.1608
18/11/1993,3.1200,18/11/1993,3.1114
19/11/1993,3.1050,19/11/1993,3.1148
22/11/1993,3.1000,22/11/1993,3.1010
