id,Port Name,State,Port Code,Border,Date,Measure,Value
10289,Laredo,Texas,2304,US-Mexico Border,2019/01/01,Buses,3352
10290,Brownsville,Texas,2301,US-Mexico Border,2019/01/01,Buses,537
10291,Richford,Vermont,203,US-Canada Border,2019/01/01,Trains,19
10292,Portal,North Dakota,3403,US-Canada Border,2019/01/01,Rail Containers Full,19739
10293,Champlain-Rouses Point,New York,712,US-Canada Border,2019/01/01,Rail Containers Full,4145
10294,Brownsville,Texas,2301,US-Mexico Border,2019/01/01,Rail Containers Full,574
10295,Calexico East,California,2507,US-Mexico Border,2019/01/01,Trucks,33715
10296,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2019/01/01,Truck Containers Empty,1521
10297,Detroit,Michigan,3801,US-Canada Border,2019/01/01,Rail Containers Full,6617
10298,Sault Sainte Marie,Michigan,3803,US-Canada Border,2019/01/01,Personal Vehicle Passengers,71796
10299,Eagle Pass,Texas,2303,US-Mexico Border,2019/01/01,Bus Passengers,7906
10300,St. John,North Dakota,3405,US-Canada Border,2019/01/01,Bus Passengers,28
10301,Calexico East,California,2507,US-Mexico Border,2019/01/01,Personal Vehicle Passengers,473461
10302,Hannah,North Dakota,3408,US-Canada Border,2019/01/01,Trucks,7
10303,Porthill,Idaho,3308,US-Canada Border,2019/01/01,Truck Containers Full,25
10304,Highgate Springs-Alburg,Vermont,212,US-Canada Border,2019/01/01,Bus Passengers,4291
10305,Roseau,Minnesota,3426,US-Canada Border,2019/01/01,Personal Vehicle Passengers,4914
10306,Porthill,Idaho,3308,US-Canada Border,2019/01/01,Pedestrians,8
10307,Presidio,Texas,2403,US-Mexico Border,2019/01/01,Trucks,823
10308,Fort Fairfield,Maine,107,US-Canada Border,2019/01/01,Truck Containers Full,39
10309,Vanceboro,Maine,105,US-Canada Border,2019/01/01,Train Passengers,54
10310,Roseau,Minnesota,3426,US-Canada Border,2019/01/01,Personal Vehicles,2705
10311,El Paso,Texas,2402,US-Mexico Border,2019/01/01,Pedestrians,582606
10312,Sumas,Washington,3009,US-Canada Border,2019/01/01,Buses,92
10313,Piegan,Montana,3316,US-Canada Border,2019/01/02,Trucks,152
10314,Naco,Arizona,2603,US-Mexico Border,2019/01/02,Truck Containers Empty,121
10315,Opheim,Montana,3317,US-Canada Border,2019/01/02,Trucks,8
10316,Columbus,New Mexico,2406,US-Mexico Border,2019/01/02,Personal Vehicle Passengers,54764
10317,Jackman,Maine,104,US-Canada Border,2019/01/02,Personal Vehicles,7189
10318,Eastport,Idaho,3302,US-Canada Border,2019/01/02,Truck Containers Empty,537
10319,Van Buren,Maine,108,US-Canada Border,2019/01/02,Personal Vehicles,8542
10320,Columbus,New Mexico,2406,US-Mexico Border,2019/01/02,Pedestrians,20918
10321,Van Buren,Maine,108,US-Canada Border,2019/01/02,Rail Containers Full,442
10322,Laurier,Washington,3016,US-Canada Border,2019/01/02,Trains,12
10323,Fort Kent,Maine,110,US-Canada Border,2019/01/02,Truck Containers Full,148
